Date,Temp Out,Humidity Out,Wind Speed,sum RainFall,RainDescription,Soil Moisture,Soil Temp,FDRS Index,FDRS Status
1/25/2023 0:30,23.4,96,6.4,10.8,Ringan,3,27.8,0.307216495,Sedang
1/25/2023 1:00,23.2,97,4.8,20.8,Sedang,3,27.2,0.285714286,Rendah
1/25/2023 1:30,23.2,98,1.6,1.4,Sangat Ringan,3,27.2,0.250505051,Rendah
1/25/2023 10:00,26.1,88,3.2,0,Tidak Hujan,3,26.7,0.329213483,Tinggi
1/25/2023 10:30,26.1,90,3.2,0,Tidak Hujan,3,26.7,0.321978022,Tinggi
1/25/2023 11:00,26.2,89,3.2,0,Tidak Hujan,4,27.2,0.326666667,Tinggi
1/25/2023 11:30,26.4,88,3.2,0,Tidak Hujan,4,27.2,0.33258427,Extreme
1/25/2023 12:00,26.4,88,3.2,0,Tidak Hujan,4,27.2,0.33258427,Extreme
1/25/2023 12:30,26.7,88,1.6,0,Tidak Hujan,4,27.8,0.317977528,Sedang
1/25/2023 13:00,26.6,86,3.2,0,Tidak Hujan,4,27.8,0.342528736,Extreme
1/25/2023 13:30,27,86,1.6,0,Tidak Hujan,4,27.8,0.328735632,Tinggi
1/25/2023 14:00,27.4,85,1.6,0,Tidak Hujan,4,27.8,0.337209302,Extreme
1/25/2023 14:30,28.2,83,1.6,0,Tidak Hujan,4,27.8,0.354761905,Extreme
1/25/2023 15:00,28.8,81,3.2,0,Tidak Hujan,4,28.3,0.390243902,Extreme
1/25/2023 15:30,28.7,82,1.6,0,Tidak Hujan,4,28.3,0.365060241,Extreme
1/25/2023 16:00,27.9,81,3.2,0,Tidak Hujan,4,28.3,0.379268293,Extreme
1/25/2023 16:30,27.7,86,3.2,0,Tidak Hujan,4,28.3,0.355172414,Extreme
1/25/2023 17:00,28.2,85,1.6,0,Tidak Hujan,5,28.9,0.346511628,Extreme
1/25/2023 17:30,28,88,0,0,Tidak Hujan,5,28.9,0.314606742,Sedang
1/25/2023 18:00,27.2,91,0,0,Tidak Hujan,5,28.9,0.295652174,Rendah
1/25/2023 18:30,26.5,93,0,0,Tidak Hujan,5,28.3,0.281914894,Rendah
1/25/2023 19:00,25.9,95,0,0,Tidak Hujan,5,28.3,0.269791667,Rendah
1/25/2023 19:30,25.4,95,0,0,Tidak Hujan,5,28.3,0.264583333,Rendah
1/25/2023 2:00,23.2,97,1.6,0.6,Sangat Ringan,3,26.7,0.253061224,Rendah
1/25/2023 2:30,23.1,97,0,0.2,Sangat Ringan,3,26.7,0.235714286,Rendah
1/25/2023 20:00,25.2,97,0,0,Tidak Hujan,5,28.3,0.257142857,Rendah
1/25/2023 20:30,24.8,96,0,0,Tidak Hujan,5,28.3,0.255670103,Rendah
1/25/2023 21:00,24.7,98,0,0,Tidak Hujan,5,27.8,0.249494949,Rendah
1/25/2023 21:30,24.7,97,0,0,Tidak Hujan,5,27.8,0.252040816,Rendah
1/25/2023 22:00,24.2,96,4.8,4.8,Sangat Ringan,3,27.8,0.298969072,Rendah
1/25/2023 22:30,24,96,3.2,1.4,Sangat Ringan,3,27.8,0.280412371,Rendah
1/25/2023 23:00,23.7,96,4.8,0.4,Sangat Ringan,3,27.2,0.293814433,Rendah
1/25/2023 23:30,23.8,96,4.8,0.8,Sangat Ringan,3,27.2,0.294845361,Rendah
1/25/2023 3:00,23,98,0,0.6,Sangat Ringan,3,26.7,0.232323232,Rendah
1/25/2023 3:30,22.9,98,1.6,0.6,Sangat Ringan,3,26.7,0.247474747,Rendah
1/25/2023 4:00,22.9,98,0,0.4,Sangat Ringan,3,26.7,0.231313131,Rendah
1/25/2023 4:30,22.8,98,0,0,Tidak Hujan,3,26.7,0.23030303,Rendah
1/25/2023 5:00,22.8,98,1.6,0,Tidak Hujan,3,26.7,0.246464646,Rendah
1/25/2023 5:30,22.9,98,1.6,0,Tidak Hujan,3,26.7,0.247474747,Rendah
1/25/2023 6:00,22.9,98,0,0,Tidak Hujan,3,26.1,0.231313131,Rendah
1/25/2023 6:30,22.7,98,0,0,Tidak Hujan,3,26.1,0.229292929,Rendah
1/25/2023 7:00,22.8,98,0,0,Tidak Hujan,3,26.1,0.23030303,Rendah
1/25/2023 7:30,22.9,98,0,0,Tidak Hujan,3,26.1,0.231313131,Rendah
1/25/2023 8:00,23.3,98,0,0,Tidak Hujan,3,26.1,0.235353535,Rendah
1/25/2023 8:30,23.8,97,1.6,0,Tidak Hujan,3,26.1,0.259183673,Rendah
1/25/2023 9:00,24.2,95,1.6,0,Tidak Hujan,3,26.1,0.26875,Rendah
1/25/2023 9:30,25.3,91,1.6,0,Tidak Hujan,3,26.7,0.292391304,Rendah
1/26/2023 0:00,23.7,96,3.2,0,Tidak Hujan,3,27.2,0.277319588,Rendah
1/26/2023 0:30,23.7,96,3.2,0,Tidak Hujan,3,27.2,0.277319588,Rendah
1/26/2023 1:00,23.6,96,4.8,0.4,Sangat Ringan,3,27.2,0.292783505,Rendah
1/26/2023 1:30,23.5,96,3.2,1.2,Sangat Ringan,3,26.7,0.275257732,Rendah
1/26/2023 10:00,23.8,96,1.6,0.2,Sangat Ringan,3,25.6,0.26185567,Rendah
1/26/2023 10:30,24,95,1.6,0.2,Sangat Ringan,3,26.1,0.266666667,Rendah
1/26/2023 11:00,24.2,95,1.6,0.2,Sangat Ringan,3,26.1,0.26875,Rendah
1/26/2023 11:30,24.3,95,1.6,0.2,Sangat Ringan,3,26.1,0.269791667,Rendah
1/26/2023 12:00,24.6,93,1.6,0,Tidak Hujan,3,26.1,0.278723404,Rendah
1/26/2023 12:30,24.9,93,0,0,Tidak Hujan,3,26.1,0.264893617,Rendah
1/26/2023 13:00,24.8,92,1.6,0,Tidak Hujan,3,26.7,0.283870968,Rendah
1/26/2023 13:30,24.9,94,1.6,0.2,Sangat Ringan,3,26.7,0.278947368,Rendah
1/26/2023 14:00,24.9,94,3.2,0,Tidak Hujan,3,26.7,0.295789474,Rendah
1/26/2023 14:30,24.9,93,3.2,0.2,Sangat Ringan,3,26.7,0.29893617,Rendah
1/26/2023 15:00,24.9,93,3.2,0,Tidak Hujan,3,26.7,0.29893617,Rendah
1/26/2023 15:30,25.2,94,3.2,0,Tidak Hujan,3,27.2,0.298947368,Rendah
1/26/2023 16:00,25.5,92,3.2,0,Tidak Hujan,3,27.2,0.308602151,Sedang
1/26/2023 16:30,25.3,91,3.2,0,Tidak Hujan,3,27.2,0.309782609,Sedang
1/26/2023 17:00,25.2,92,1.6,0,Tidak Hujan,3,27.2,0.288172043,Rendah
1/26/2023 17:30,25.3,93,0,0,Tidak Hujan,3,27.2,0.269148936,Rendah
1/26/2023 18:00,25,94,0,0,Tidak Hujan,3,27.2,0.263157895,Rendah
1/26/2023 18:00,25,94,0,0,Tidak Hujan,3,27.2,0.263157895,Rendah
1/26/2023 18:30,24.6,95,0,0,Tidak Hujan,3,27.2,0.25625,Rendah
1/26/2023 19:00,24.2,96,0,0,Tidak Hujan,3,27.2,0.249484536,Rendah
1/26/2023 19:30,23.9,97,0,0,Tidak Hujan,3,27.2,0.243877551,Rendah
1/26/2023 2:00,23.3,96,4.8,1.4,Sangat Ringan,3,26.7,0.289690722,Rendah
1/26/2023 2:30,23.1,97,3.2,1.2,Sangat Ringan,3,26.7,0.268367347,Rendah
1/26/2023 20:00,23.7,97,0,0,Tidak Hujan,3,27.2,0.241836735,Rendah
1/26/2023 20:30,23.7,97,0,0,Tidak Hujan,3,26.7,0.241836735,Rendah
1/26/2023 21:00,23.6,97,0,0,Tidak Hujan,4,26.7,0.240816327,Rendah
1/26/2023 21:30,23.6,97,0,0,Tidak Hujan,4,26.7,0.240816327,Rendah
1/26/2023 22:00,23.4,97,0,0,Tidak Hujan,4,26.7,0.23877551,Rendah
1/26/2023 22:30,23.4,98,0,0,Tidak Hujan,4,26.7,0.236363636,Rendah
